31343982,"2012-09-17 04:21:51","2012-09-17 04:32:06",85.31.168.2,GB,"United Kingdom","Important & Urgent",relevant,"Important & Urgent","not relevant","not relevant",relevant,"not relevant","not relevant","not relevant","not relevant","not relevant","not relevant","not relevant","not relevant","not relevant",,relevant,"important & urgent","important but not urgent",relevant,"not relevant","not relevant","not relevant","not relevant","important & urgent",relevant,"important & urgent","not relevant","important but not urgent",relevant,"important but not urgent","important but not urgent",relevant,"not relevant","not relevant","not relevant","not relevant",,"not relevant","important but not urgent","not relevant","not relevant","not relevant",,"not relevant","important but not urgent","important but not urgent","not relevant","not relevant","not relevant","not relevant","not relevant","not relevant","not relevant","not relevant","important but not urgent",relevant,"not relevant","not relevant","not relevant",,"I live in RDBMS land, I want to learn more about BigData, I live and breath the Web + JSON stack, I want to reduce complexity in my data tooling/technologies","important & urgent",relevant,"important & urgent","important & urgent","important & urgent","not relevant","not relevant","not relevant",relevant,,"Browser, Direct",,,
31344835,"2012-09-17 05:03:15","2012-09-17 05:09:49",86.128.31.227,GB,"United Kingdom","Important & Urgent","Not Important but Urgent","Important but Not Urgent","not relevant","not relevant","Not Important but Urgent","not relevant",relevant,"Not Important but Urgent","not relevant","not relevant","not relevant",relevant,relevant,"not relevant",,"not relevant","not relevant","important & urgent","important & urgent","important but not urgent","not relevant","important but not urgent","not relevant","important but not urgent","not important but urgent","not important but urgent","important & urgent","important but not urgent","not important but urgent",relevant,relevant,"not relevant","not relevant","not relevant",,"not relevant",,"not relevant","not important but urgent","important but not urgent","not relevant","not relevant","not relevant","not relevant",relevant,relevant,"not relevant","not relevant","not relevant",relevant,"not relevant","not relevant","not relevant","not relevant","not relevant","not relevant","not relevant","not relevant","not relevant",,"I live and breath BigData","not important but urgent","not relevant",relevant,"important & urgent","not relevant","not relevant","not relevant","not relevant","not relevant",,"Browser, Direct","Windows 7","Opera 12.00",
31346860,"2012-09-17 06:06:52","2012-09-17 06:14:21",207.168.47.25,US,"United States","Important & Urgent","Important & Urgent","Important but Not Urgent",relevant,relevant,relevant,"not relevant","Important but Not Urgent","Important but Not Urgent","Important but Not Urgent",relevant,"Important but Not Urgent",relevant,"Important but Not Urgent","Not Important but Urgent",,"important & urgent","important & urgent","important & urgent","important & urgent","important but not urgent","important & urgent","important but not urgent",relevant,"important & urgent",relevant,"important but not urgent",relevant,"important & urgent","important & urgent","important but not urgent","important & urgent",relevant,relevant,"not relevant",,relevant,,relevant,"important but not urgent","important but not urgent","not relevant","not relevant","not relevant","not relevant","important & urgent","important but not urgent","important but not urgent","not relevant",,"important but not urgent","important but not urgent","not relevant","not relevant","important but not urgent","not relevant","important but not urgent","important but not urgent","important but not urgent",relevant,,"I embrace and plan for data heterogeneity from the start, I want to reduce complexity in my data tooling/technologies, I live and breath the XML stack, I live and breath BigData","important & urgent","important but not urgent",relevant,"important & urgent",relevant,relevant,"important & urgent","not important but urgent","important but not urgent",,"Browser, Direct",,,
31347065,"2012-09-17 06:09:43","2012-09-17 06:21:09",114.134.246.114,JP,Japan,"Important & Urgent",relevant,"Important & Urgent",relevant,relevant,"Important but Not Urgent","Important but Not Urgent","not relevant","not relevant","not relevant","not relevant","not relevant","Important but Not Urgent","Important but Not Urgent","not relevant",,"not relevant","not relevant","not relevant","important & urgent","not important but urgent","not relevant","not relevant","important but not urgent",relevant,"not relevant","important but not urgent","not relevant","important & urgent",relevant,"not relevant","not relevant","not relevant","not relevant","not relevant","not relevant","not relevant",,"not relevant","important but not urgent",relevant,"not relevant","not relevant","not relevant","important & urgent","important but not urgent","not relevant","not relevant","not relevant","not relevant","important but not urgent","not relevant","not relevant","not relevant","not relevant","not relevant","important & urgent","not relevant",relevant,relevant,"SportsML (part of NewsML by IPTC)","I want to reduce complexity in my data tooling/technologies, I want to learn more about BigData, I live and breath the XML stack",relevant,"not relevant",relevant,"important & urgent",relevant,"not relevant","not relevant",relevant,"important but not urgent","Scalability is the next important issue that I face.","Browser, Direct","Mac OS X 10.7","Chrome 0.0",
31347232,"2012-09-17 06:16:47","2012-09-17 06:27:11",99.241.52.130,CA,Canada,"Important & Urgent","Important & Urgent","Important & Urgent","Important but Not Urgent","Important & Urgent",relevant,"not relevant","Important & Urgent","Important but Not Urgent","Important but Not Urgent","Important but Not Urgent",relevant,relevant,relevant,"Important but Not Urgent",,"important & urgent","important & urgent",,"important & urgent","important but not urgent","important & urgent","important but not urgent",relevant,relevant,"not relevant",relevant,,relevant,relevant,"important & urgent","important & urgent",relevant,"important but not urgent","not relevant",,"not relevant",,relevant,relevant,"important & urgent","not relevant","not relevant","not relevant","not relevant","not relevant","not relevant","not relevant","not relevant","not relevant","important & urgent","not relevant","not relevant","not relevant","important & urgent","not relevant","important & urgent",relevant,relevant,"not relevant",,"I live and breath the XML stack",relevant,relevant,relevant,"important & urgent","not relevant","not relevant","not relevant","not relevant",relevant,"What is the importance/urgency to XML Amsterdam 2012 attendees of XML-related training? (1) - static web sites, (2) - interacting with static online video, (3) - interacting with an instructor online, (4) - interacting with an instructor at a public-subscribed event, (5) - interacting with an instructor at an on-client-site event    What are the important/urgent topics for XML-related training? (1) - XML syntax, (2) - XPath data model and syntax, (3) - Schema languages, (4) - XSLT, (5) - XSL-FO, (6) - XML 'Semantics', (7) - XML vocabularies    Good luck at the conference!  . . . . . . . .  Ken","Browser, Direct",,,
31347470,"2012-09-17 06:30:07","2012-09-17 06:34:56",196.38.235.106,ZA,"South Africa","Important & Urgent","Important but Not Urgent","Important but Not Urgent","Important but Not Urgent","Important but Not Urgent","Important but Not Urgent","Important & Urgent","Important but Not Urgent","not relevant","Important & Urgent","Important & Urgent","Important & Urgent","Important & Urgent","Important but Not Urgent","Important & Urgent","XUL declarative user interface language",relevant,relevant,relevant,"important & urgent","important & urgent",relevant,relevant,"important & urgent",,,,,"important & urgent","important & urgent",relevant,relevant,"important but not urgent",relevant,,"not relevant",relevant,,"important & urgent","important & urgent",,,,"important & urgent","important & urgent","not relevant",,"important & urgent",,"important & urgent","important & urgent","important & urgent","important & urgent",,,,"important & urgent","important & urgent",,"important & urgent",,"I embrace and plan for data heterogeneity from the start, I live and breath the XML stack",relevant,relevant,relevant,"important & urgent","important but not urgent","not relevant","not relevant","not relevant","important & urgent",,"Browser, Direct",,,
31347564,"2012-09-17 06:32:56","2012-09-17 06:37:38",208.102.120.125,US,"United States",relevant,"not relevant","not relevant","not relevant",relevant,"not relevant","not relevant","not relevant","not relevant","not relevant","not relevant","not relevant","not relevant",relevant,"not relevant",,"not relevant",relevant,relevant,relevant,"not relevant",relevant,"not relevant","not relevant",relevant,"not relevant",relevant,"not relevant",relevant,relevant,relevant,"not relevant",relevant,relevant,relevant,,relevant,,relevant,relevant,"not relevant","not relevant","not relevant","not relevant","not relevant","not relevant",,"not relevant","not relevant","not relevant","not relevant","not relevant","not relevant","not relevant","not relevant","not relevant","not relevant","not relevant",relevant,relevant,,"I live and breath the XML stack, I live and breath the Web + JSON stack",relevant,relevant,relevant,relevant,relevant,relevant,"not relevant",relevant,"not relevant",,"Browser, Direct","Mac OS X 10.7","Safari 0.0",
31349455,"2012-09-17 07:13:47","2012-09-17 07:22:33",71.206.173.133,US,"United States","Important & Urgent",relevant,"Important & Urgent","not relevant","Important but Not Urgent","not relevant","not relevant",relevant,"Important but Not Urgent","Important but Not Urgent",relevant,"not relevant",relevant,"Important & Urgent","Important & Urgent",,"important but not urgent","important & urgent","important & urgent",relevant,relevant,"important but not urgent","important but not urgent",relevant,"important & urgent",relevant,relevant,relevant,relevant,relevant,relevant,relevant,relevant,relevant,relevant,relevant,relevant,,"important & urgent",relevant,relevant,,"important but not urgent",relevant,relevant,,relevant,relevant,relevant,relevant,relevant,relevant,relevant,relevant,relevant,relevant,relevant,relevant,"important & urgent","important & urgent","NLM (JATS & upcoming BITS)","I embrace and plan for data heterogeneity from the start","important & urgent","important & urgent",relevant,"important & urgent","important but not urgent","important but not urgent","important but not urgent","important & urgent","not relevant",,"Mobile Device, Direct","iOS 4.3","Safari 4.3",
31352646,"2012-09-17 08:22:17","2012-09-17 08:27:16",80.101.201.38,NL,Netherlands,"Important & Urgent","Important but Not Urgent","Important & Urgent","Important & Urgent","Important & Urgent","Important & Urgent","Important & Urgent","Important & Urgent",relevant,"Not Important but Urgent","Not Important but Urgent",relevant,relevant,"Not Important but Urgent",relevant,,"important but not urgent","important & urgent",relevant,relevant,relevant,"not relevant",relevant,"not relevant",relevant,relevant,relevant,relevant,"important & urgent","important but not urgent","important & urgent","important & urgent","not relevant","not relevant","not relevant","not relevant","not relevant",,relevant,"important but not urgent","important but not urgent","important & urgent","important & urgent","not important but urgent",relevant,"important & urgent","not important but urgent","not important but urgent","important & urgent","not relevant","important & urgent","important & urgent",relevant,"not relevant","important & urgent","important & urgent","important & urgent","not important but urgent","important but not urgent","not important but urgent","UN/CEFACT ebXML","I want to learn more about BigData, I live and breath the Web + JSON stack, I live and breath the XML stack","important & urgent","important & urgent","important & urgent","important & urgent","important but not urgent",relevant,relevant,"not important but urgent","important & urgent",,"Browser, Direct","Windows Vista","Opera 12.00",
31356487,"2012-09-17 09:31:06","2012-09-17 09:37:56",66.87.67.13,US,"United States","Important & Urgent","Important & Urgent","Important & Urgent","Important & Urgent",relevant,"not relevant","not relevant","not relevant",relevant,"Not Important but Urgent",relevant,"not relevant","not relevant","Important & Urgent","Not Important but Urgent",,"not relevant","not relevant","important & urgent","important & urgent",relevant,"not relevant",relevant,"not relevant","important & urgent","not relevant","important & urgent",relevant,"not important but urgent","not important but urgent","not important but urgent","important & urgent",relevant,"important & urgent",relevant,"not relevant",relevant,,"important & urgent",relevant,relevant,"not relevant","not relevant","not relevant","not relevant",relevant,"not relevant","not important but urgent","not relevant","not relevant","not relevant","not relevant",relevant,"not relevant","not relevant","not relevant",relevant,"not relevant","important & urgent",relevant,"NLM, JATS","I embrace and plan for data heterogeneity from the start, I live and breath the XML stack, I want to reduce complexity in my data tooling/technologies, I live and breath BigData","important & urgent","important & urgent","important & urgent","important & urgent","important & urgent",relevant,relevant,"important & urgent",relevant,,"Mobile Device, Direct","iOS 5.1","Safari 5.1",
31361027,"2012-09-17 10:51:12","2012-09-17 11:00:55",194.66.238.27,GB,"United Kingdom",relevant,relevant,relevant,relevant,relevant,relevant,"Important but Not Urgent","Important but Not Urgent","Important but Not Urgent","Important but Not Urgent","Important & Urgent",,relevant,relevant,relevant,,relevant,relevant,"important & urgent",relevant,"important but not urgent","important & urgent","important but not urgent","not important but urgent","important & urgent","important but not urgent","not important but urgent",relevant,"important & urgent","important & urgent","not relevant","not relevant","important & urgent","important & urgent","important but not urgent","not relevant",relevant,,"important & urgent","important & urgent","important & urgent","not relevant","not relevant",relevant,relevant,"not important but urgent","important but not urgent",relevant,"not relevant","important but not urgent","important & urgent","important but not urgent",relevant,relevant,"not relevant","not relevant",relevant,"not relevant","important & urgent","important & urgent",,"I live and breath the XML stack","important & urgent","important & urgent","important but not urgent","important & urgent",relevant,"not relevant","important but not urgent","important & urgent",relevant,,"Browser, Direct","Windows 7","Firefox 14.0",
31372278,"2012-09-17 13:38:31","2012-09-17 13:44:01",192.240.14.10,US,"United States","Important & Urgent","Important but Not Urgent","Important & Urgent",relevant,relevant,relevant,"Important & Urgent","not relevant","not relevant","not relevant",relevant,"not relevant","not relevant",relevant,relevant,"XPath 2.0",,relevant,"not relevant","not relevant","not relevant","not relevant","not relevant","not relevant","important & urgent","not relevant",relevant,"not relevant","important & urgent",relevant,"not relevant","not relevant","not relevant","not relevant","not relevant",,"not relevant",,"not relevant",relevant,"not relevant","not relevant","important & urgent","not relevant","not relevant",relevant,relevant,"not relevant","not relevant","not relevant",relevant,"important but not urgent","not relevant","not relevant","not relevant","not relevant","not relevant","not relevant","not relevant","not relevant",,"I live and breath the XML stack, I live and breath BigData",relevant,"important & urgent","not relevant","important but not urgent",relevant,"not relevant","not relevant","not relevant","not relevant",,"Browser, Direct",,,
31376894,"2012-09-17 14:43:23","2012-09-17 14:53:58",81.229.72.227,SE,Sweden,"Important & Urgent","Important but Not Urgent","Important & Urgent",relevant,"Important but Not Urgent","not relevant","not relevant","Important & Urgent","Important & Urgent",relevant,relevant,"Important & Urgent","not relevant","not relevant","Important & Urgent",,"not relevant","important but not urgent","important & urgent","important & urgent",relevant,relevant,relevant,"not relevant",relevant,"not relevant",relevant,"not relevant","not relevant","not relevant","important & urgent","important & urgent",relevant,relevant,,"not relevant","not relevant",,"important but not urgent","important & urgent","important but not urgent","not relevant",relevant,"not relevant","not relevant","important & urgent","important & urgent","not relevant","not relevant","not relevant","not relevant","not relevant","not relevant","not relevant",relevant,"not relevant","important but not urgent",relevant,"important but not urgent","not relevant","S1000D/Shipdex; CALS","I live and breath the XML stack, I want to learn more about BigData, I want to reduce complexity in my data tooling/technologies, I embrace and plan for data heterogeneity from the start","important & urgent",relevant,"not relevant","important & urgent","important but not urgent","not relevant","not relevant",relevant,relevant,"This was a weird one. I'd love to hear your keynote.  Best,  /Ari","Browser, Direct",,,
31377928,"2012-09-17 15:06:45","2012-09-17 15:12:57",82.234.35.126,FR,France,"Important & Urgent","not relevant","Important & Urgent","not relevant","Important & Urgent","not relevant","not relevant","Important & Urgent","Important but Not Urgent","Important & Urgent","Important & Urgent","not relevant","not relevant","not relevant","Important but Not Urgent",,"not important but urgent","important & urgent","important & urgent","not relevant","not relevant",relevant,relevant,relevant,relevant,relevant,relevant,relevant,"not relevant","not relevant","important & urgent","important but not urgent",relevant,"important & urgent","not relevant","not relevant","not relevant",,"important & urgent","important & urgent","important & urgent","not relevant","not relevant","not relevant","not relevant","not relevant","not relevant",relevant,"not relevant","not relevant","not relevant","not relevant","not relevant","not relevant","not relevant","not relevant","not relevant","important & urgent","important & urgent",relevant,xliff,"I live and breath the XML stack","not relevant","not relevant","important but not urgent","important & urgent","not relevant","not relevant","not relevant","not relevant","not relevant",,"Mobile Device, Direct","Android 4","Android 4.0",
31390143,"2012-09-17 20:47:48","2012-09-17 20:51:04",64.124.132.50,US,"United States","Important & Urgent",,,,,,,,,,,"Important & Urgent",,,,,,,,,,,,,,,,,"important & urgent","important & urgent",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,StratML,"I want to reduce complexity in my data tooling/technologies, I live and breath the XML stack",,,,"important & urgent","important but not urgent",,,,"important but not urgent",,"Browser, Direct","Windows 7","IE 9.0",
31394590,"2012-09-17 23:54:26","2012-09-17 23:59:56",92.78.105.224,DE,Germany,"Important & Urgent","not relevant","Important & Urgent","Important but Not Urgent","Important & Urgent","not relevant","not relevant","Important & Urgent","Important but Not Urgent","Important but Not Urgent","not relevant","Important & Urgent","not relevant","Important but Not Urgent","Important & Urgent",,relevant,relevant,"important & urgent","important & urgent","important but not urgent",relevant,"important but not urgent",relevant,"not relevant","not relevant","not relevant","not relevant","important & urgent","important but not urgent","important & urgent","important & urgent",relevant,"not relevant","not relevant",,"not relevant",,relevant,"important & urgent",relevant,,"not relevant",,,relevant,,"important & urgent","not relevant",,"not relevant","not relevant",,"not relevant",,"not relevant",relevant,relevant,"important & urgent",,,"I live and breath the XML stack, I want to reduce complexity in my data tooling/technologies","important but not urgent",relevant,relevant,"important & urgent",relevant,"not relevant","not relevant","important & urgent",relevant,,"Browser, Direct",,,
31396530,"2012-09-18 01:37:25","2012-09-18 01:44:51",82.236.221.131,FR,France,"Important & Urgent","Important & Urgent","Important & Urgent","Important & Urgent","Important & Urgent",relevant,relevant,relevant,"Important & Urgent","Important but Not Urgent",relevant,relevant,relevant,"Important & Urgent","Important but Not Urgent",,"not relevant",relevant,"important & urgent",relevant,relevant,relevant,"important but not urgent","not relevant","important & urgent",relevant,"important but not urgent","important but not urgent","important but not urgent","important but not urgent","important & urgent","important & urgent",relevant,relevant,"not relevant",,"not relevant",,"important but not urgent","important but not urgent","important but not urgent","not relevant","not relevant",,"important but not urgent","not relevant","not relevant","important but not urgent","not relevant","not relevant","important but not urgent",,"important & urgent",relevant,"not relevant","not relevant","important but not urgent","important but not urgent","important & urgent",relevant,"DAISY DTBook, DAISY AI","I live and breath the XML stack, I want to reduce complexity in my data tooling/technologies","important but not urgent","important but not urgent",relevant,"important & urgent","important but not urgent",relevant,relevant,"important & urgent","important but not urgent",,"Browser, Direct","Mac OS X 10.8","Chrome 0.0",
31398479,"2012-09-18 03:12:59","2012-09-18 03:17:23",78.43.121.57,DE,Germany,relevant,relevant,relevant,"not relevant","Important & Urgent","not relevant","not relevant","not relevant","not relevant","not relevant","not relevant","not relevant","not relevant","Important & Urgent","not relevant","XML Schema","not relevant","not relevant","not relevant","not relevant","not relevant","not relevant","not relevant","not relevant","important but not urgent","not relevant",relevant,"not relevant",relevant,relevant,"not relevant","not relevant",relevant,"not relevant",relevant,,"not relevant",,"not relevant","not relevant","not relevant","not relevant","not relevant","not relevant","not relevant",relevant,relevant,"not relevant","not relevant","not relevant","not relevant",relevant,"not relevant","not relevant","not relevant","important & urgent","not relevant","not relevant","not relevant","not relevant",,"I want to reduce complexity in my data tooling/technologies, I live and breath BigData, I live in RDBMS land","important & urgent","important & urgent","important & urgent",relevant,"important & urgent","important & urgent","important & urgent","not relevant","not relevant",,"Browser, Direct","Windows 7","IE 9.0",
31430538,"2012-09-18 16:42:32","2012-09-18 16:49:35",70.109.62.91,US,"United States","Important & Urgent",,relevant,relevant,relevant,relevant,"not relevant","not relevant","Important & Urgent","Important but Not Urgent","Important but Not Urgent","not relevant","Important but Not Urgent","Important & Urgent","Important but Not Urgent",,"important but not urgent","important & urgent","important & urgent",relevant,relevant,"important but not urgent",relevant,"important but not urgent","important & urgent",relevant,"important & urgent",relevant,"important but not urgent",relevant,"important & urgent",relevant,"important & urgent",relevant,"important & urgent","not relevant","important but not urgent",,"important but not urgent","important & urgent","important but not urgent","not relevant","not relevant","not relevant",relevant,"not relevant","not relevant","not relevant","not relevant","not relevant",relevant,"not relevant","not relevant","not relevant","not relevant","not relevant",relevant,"not relevant",relevant,relevant,,"I live and breath the Web + JSON stack, I live and breath BigData, I want to reduce complexity in my data tooling/technologies, I embrace and plan for data heterogeneity from the start","important & urgent","not relevant","important & urgent","important & urgent","important but not urgent","important & urgent",relevant,relevant,relevant,,"Browser, Direct","Mac OS X 10.8","Chrome 0.0",
31472204,"2012-09-19 16:01:46","2012-09-19 16:06:32",93.184.187.12,DE,Germany,relevant,,"not relevant",relevant,relevant,relevant,"not relevant","Important & Urgent",relevant,"not relevant",,relevant,relevant,relevant,relevant,,relevant,"not relevant",relevant,relevant,relevant,"not relevant",relevant,"not relevant","important & urgent","not relevant","important & urgent","important & urgent","not relevant",relevant,relevant,relevant,relevant,"not relevant",relevant,,relevant,,relevant,"important & urgent",,"not relevant","not relevant",,"not relevant",relevant,,,"not relevant",relevant,"important & urgent",relevant,"not relevant",,"not relevant","not relevant",relevant,relevant,"important & urgent","important & urgent","DITA 1.2","I live and breath the XML stack, I want to learn more about BigData, I embrace and plan for data heterogeneity from the start",relevant,relevant,relevant,relevant,relevant,"not relevant","not relevant",relevant,relevant,,"Browser, Direct",,,
31522773,"2012-09-20 17:25:51","2012-09-20 17:29:11",74.141.4.94,US,"United States","Important & Urgent",relevant,"Important & Urgent","not relevant","not relevant","not relevant",relevant,"Important & Urgent","not relevant","not relevant","not relevant","not relevant","not relevant","Not Important but Urgent","not relevant",xmlsh,"not relevant",,,,"important & urgent","not relevant","important but not urgent","not relevant","important but not urgent","not relevant","not relevant","important & urgent","important & urgent","not important but urgent","important & urgent",relevant,relevant,,"not relevant","not relevant","not relevant",,"not relevant","not relevant",relevant,"not relevant","not relevant","not relevant","not relevant","important & urgent","not important but urgent","not relevant","not relevant","not relevant","not relevant","not relevant","not relevant",,,"not relevant","important & urgent","not relevant","not important but urgent","not important but urgent",,"I live and breath the XML stack, I want to reduce complexity in my data tooling/technologies, I embrace and plan for data heterogeneity from the start","important & urgent",,,"important & urgent","important & urgent","not relevant","not relevant",relevant,"important & urgent",,"Browser, Direct","Windows 7","Chrome 0.0",
31565699,"2012-09-21 14:26:00","2012-09-21 14:30:31",99.173.133.217,US,"United States","Important & Urgent","Important but Not Urgent","Important & Urgent",relevant,"Important & Urgent",relevant,"not relevant","not relevant",relevant,"Important but Not Urgent",relevant,relevant,"not relevant","not relevant","not relevant",,"important but not urgent","important but not urgent","important & urgent",relevant,relevant,relevant,relevant,relevant,"important & urgent","important but not urgent","important & urgent",relevant,relevant,relevant,"important & urgent","important but not urgent","important & urgent",relevant,"important & urgent",,"not relevant",,"not relevant","important but not urgent",relevant,"not relevant","not relevant","not relevant","not relevant","not relevant","not relevant","important & urgent","not relevant","not relevant","not relevant","not relevant","not relevant","not relevant","not relevant","not relevant",relevant,"not relevant",relevant,relevant,,"I live and breath the XML stack, I embrace and plan for data heterogeneity from the start, I want to reduce complexity in my data tooling/technologies, I want to learn more about BigData, I live and breath the Web + JSON stack","important & urgent","important & urgent","important & urgent","important & urgent","important but not urgent","important & urgent",relevant,relevant,relevant,,"Browser, Direct","Mac OS X 10.8","Safari 6.0",
31639697,"2012-09-22 12:29:43","2012-09-22 12:30:46",83.253.249.212,SE,Sweden,"Important & Urgent","not relevant","not relevant","not relevant","not relevant","not relevant","not relevant","Important & Urgent","not relevant","not relevant","not relevant","not relevant",,"Important but Not Urgent","Important & Urgent",svg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Mobile Device, Direct","Android 18","Chrome 18.0",
31640267,"2012-09-22 12:29:43","2012-09-22 12:33:24",83.253.249.212,SE,Sweden,"Important & Urgent","not relevant","not relevant","not relevant","not relevant","not relevant","not relevant","Important & Urgent","not relevant","not relevant","not relevant","not relevant",,"Important but Not Urgent","Important & Urgent",svg,"important & urgent","important & urgent",relevant,relevant,"not relevant","not relevant","not relevant","not relevant","not relevant","not relevant","not relevant","not relevant",relevant,relevant,"not relevant","not relevant","not relevant","not relevant","not relevant",,"not relevant",,"not relevant","important & urgent","not relevant","not relevant","not relevant","not relevant","not relevant","not relevant","not relevant","not relevant","not relevant","not relevant","not relevant","not relevant","not relevant","not relevant","not relevant","not relevant","not relevant","not relevant","not relevant","not relevant",,"I want to reduce complexity in my data tooling/technologies","important but not urgent","important but not urgent","not relevant","important & urgent","not important but urgent","not relevant","not relevant","not relevant","not relevant",,"Mobile Device, Direct","Android 18","Chrome 18.0",
31859892,"2012-09-24 01:13:20","2012-09-24 02:39:59",195.159.162.194,NO,Norway,"Important & Urgent",,"Important & Urgent","not relevant","not relevant","Important & Urgent","not relevant","Important & Urgent",relevant,relevant,relevant,relevant,"not relevant","Important & Urgent","not relevant",,"not relevant",relevant,"important & urgent","important but not urgent","important but not urgent","not relevant","important but not urgent","not relevant","important & urgent","not relevant","important & urgent","important & urgent","important & urgent","important & urgent",relevant,relevant,"important & urgent","important but not urgent",relevant,,relevant,,"important & urgent","important but not urgent","important but not urgent","not relevant","not relevant","not relevant","not relevant","important & urgent","important & urgent","not relevant","not relevant","not relevant","not relevant","not relevant","not relevant","not relevant","not relevant","not relevant",relevant,"important but not urgent","important & urgent","not relevant",,"I live and breath the XML stack","not relevant","not relevant","important & urgent","important & urgent","important & urgent","not relevant","not relevant",relevant,relevant,,"Browser, Direct",Linux,"Chrome 21.0",
31960888,"2012-09-26 14:28:28","2012-09-26 14:32:17",216.175.114.223,US,"United States","Important but Not Urgent",relevant,"Important but Not Urgent","not relevant","not relevant","not relevant","not relevant","Important & Urgent",relevant,relevant,"not relevant",relevant,relevant,"not relevant","not relevant",,relevant,"not relevant","important but not urgent","important but not urgent",relevant,relevant,relevant,relevant,relevant,"not relevant",relevant,"not relevant","important but not urgent","important but not urgent",relevant,"important but not urgent",relevant,"not relevant",relevant,"important & urgent",relevant,,"important but not urgent","important but not urgent",relevant,"not relevant",relevant,"not relevant","not relevant",relevant,relevant,relevant,"not relevant",relevant,"not relevant",relevant,relevant,"not relevant",relevant,relevant,relevant,"important but not urgent","important & urgent",relevant,,"I want to learn more about BigData, I live and breath the Web + JSON stack, I want to reduce complexity in my data tooling/technologies, I embrace and plan for data heterogeneity from the start, I live and breath the XML stack","important but not urgent",relevant,"important but not urgent","important but not urgent",relevant,relevant,relevant,"important but not urgent",relevant,,"Browser, Direct","Windows 7","Chrome 22.0",
31994586,"2012-09-27 10:12:45","2012-09-27 10:23:26",78.49.164.140,DE,Germany,"Important & Urgent","not relevant",relevant,relevant,"Important but Not Urgent","not relevant","not relevant","not relevant","not relevant","not relevant","not relevant","not relevant","not relevant","Important but Not Urgent","not relevant",XPath,"not relevant","not relevant","not relevant","important & urgent","important but not urgent","not relevant","not relevant",relevant,"not relevant",,relevant,"not relevant","not relevant","not relevant","not relevant","not relevant","not relevant","not relevant","not relevant","not relevant","not relevant",,relevant,relevant,"not relevant","not relevant","not relevant","not relevant","not relevant","not relevant","not relevant","not relevant","not relevant","not relevant","not relevant","not relevant","not relevant","not relevant","not relevant","not relevant","not relevant","not relevant","not relevant","not relevant",,"I want to reduce complexity in my data tooling/technologies, I live and breath the XML stack","important & urgent","important & urgent","important but not urgent","important & urgent","not relevant","not relevant","not relevant","not relevant","not relevant","XML Queries (not transformations) like XPath and XML pattern-matching like in Xidel are missing","Browser, Direct",Linux,"Firefox 6.0",
32222938,"2012-10-03 06:25:22","2012-10-03 06:30:18",195.69.214.254,GB,"United Kingdom","Important but Not Urgent",relevant,relevant,"Important but Not Urgent","Important & Urgent","Important but Not Urgent","not relevant","Important but Not Urgent","Important but Not Urgent","Important but Not Urgent",,relevant,"not relevant","Important & Urgent","Important but Not Urgent",,"important & urgent",,"important & urgent","important & urgent","important but not urgent",relevant,"important but not urgent",relevant,relevant,relevant,relevant,relevant,"important & urgent","important but not urgent","important & urgent","important & urgent","important & urgent","not relevant","important & urgent","not relevant","important & urgent",microdata,"important but not urgent","important but not urgent","important & urgent","important but not urgent",relevant,"not relevant","not relevant","not relevant","not relevant",relevant,"not relevant","not relevant","not relevant","not relevant","not relevant","not relevant","important but not urgent","not relevant","important & urgent","important but not urgent","important & urgent","not relevant",,"I live and breath the XML stack, I embrace and plan for data heterogeneity from the start, I want to reduce complexity in my data tooling/technologies, I want to learn more about BigData","important & urgent","not relevant","important & urgent","important & urgent","important but not urgent","important but not urgent","not relevant","important & urgent","important but not urgent",,"Browser, Direct","Mac OS X 10.8","Chrome 22.0",
32491531,"2012-10-08 09:24:29","2012-10-08 09:27:38",149.32.192.34,US,"United States","Important & Urgent","not relevant","Important but Not Urgent","not relevant","not relevant","not relevant","not relevant","Important & Urgent","Important but Not Urgent","Important but Not Urgent","Important but Not Urgent",relevant,"not relevant","not relevant","Important but Not Urgent","XSLT 3.0","not relevant",relevant,"important but not urgent",relevant,"not relevant","not relevant","not important but urgent","not relevant",relevant,relevant,relevant,relevant,,"not relevant","not relevant","not relevant","not relevant",,"not relevant","not relevant",,,"not relevant","not relevant","not relevant","not relevant","not relevant","not relevant","not relevant","not relevant","not relevant","not relevant","not relevant","not relevant",relevant,"not relevant","not relevant","not relevant","not relevant","not relevant","important but not urgent","not relevant","important but not urgent",relevant,,"I want to reduce complexity in my data tooling/technologies, I want to learn more about BigData","important & urgent","not relevant","not relevant","important & urgent","not relevant","not relevant",,"not relevant",relevant,,"Browser, Direct","Windows XP","Firefox 3.6",
