"Respondent ID","Start Date",EndDate,"IP Address","Country Code","Country Name","Please rank the importance of each xslt version",,,,"Please rank xslt versions from most important (top) to least important (bottom).","How long have you been using XSLT ?","Which XSLT processor(s) do you use the most ?","What environment/operating system do you run your XSLT in ?",,"Please provide any additional information about how you use XSLT, expectations for the future or any general comment you would like to make.",Type,Platform,Agent,Referrer
39612285,"2013-01-28 14:51:13","2013-01-28 14:57:57",173.167.120.41,US,"United States",Somewhat,"No opinion",Extremely,Somewhat,"XSLT v2.0, XSLT v3.0, XSLT v1.0, XSLT v1.0 + exslt","a long time",Saxon,.NET,,"I use XSLT extensively for most of my work in a SQL/ASP stack in order to output XHTML, XSL-FO as well as reports (XML, SpreadsheetML, HTML). Lately though I'm approaching what xforms already does, so I'm exploring the use of the XRX stack as a possible replacement. In that case I'll still be using XSLT too.","Browser, Direct","Windows 7","Chrome 24.0",http://t.co/KhWP9dDb
39614519,"2013-01-28 15:19:06","2013-01-28 15:20:48",37.160.5.69,XX,Unknown,"Not at all","Not at all",Extremely,Extremely,"XSLT v2.0, XSLT v3.0, XSLT v1.0",,,,,,"Mobile Device, Direct","Android 4","Android 4.0",http://t.co/KhWP9dDb
39616184,"2013-01-28 15:39:16","2013-01-28 15:41:10",81.82.223.58,BE,Belgium,Somewhat,Somewhat,Extremely,Somewhat,"XSLT v2.0, XSLT v1.0 + exslt, XSLT v1.0, XSLT v3.0","a long time","Saxon PE, Xalan, MSXML, LiBXSLT and browser",Java,,,"Browser, Direct","Windows 7","IE 9.0",
39618184,"2013-01-28 11:08:02","2013-01-28 16:03:57",71.178.3.223,US,"United States",Extremely,"No opinion",Extremely,Somewhat,"XSLT v2.0, XSLT v3.0, XSLT v1.0, XSLT v1.0 + exslt","a long time","Saxon  MSXML  xalan",Java,,"Curious what the support for XSLT, XPath and XQuery 3.0 will be moving forward.   It would be nice to have built-in support for 2.0 and 3.0 in major frameworks like Java,.NET, and browsers.","Browser, Direct","Windows XP","Chrome 24.0",
39619874,"2013-01-28 13:59:21","2013-01-28 16:24:49",67.180.11.170,US,"United States",Extremely,Extremely,Somewhat,"No opinion","XSLT v1.0 + exslt, XSLT v1.0, XSLT v2.0, XSLT v3.0","a long time",xsltproc,"OSX, Linux",,"Simplify, simplify, simplify but no simpler!    I would love to see a lightweight xpath function protocol based on the overlap between HTTP query strings and posix shell pipelines.","Browser, Direct","Mac OS X 10.6","Chrome 0.0",
39622836,"2013-01-28 16:59:18","2013-01-28 17:00:16",93.217.93.24,DE,Germany,Extremely,Extremely,Somewhat,"No opinion","XSLT v1.0 + exslt, XSLT v1.0, XSLT v2.0, XSLT v3.0","a long time","Saxon, FF, MSXSL",Java,browser,,"Browser, Direct","Windows 7","Firefox 18.0",
39639439,"2013-01-28 22:23:22","2013-01-28 22:24:53",66.233.181.171,US,"United States",Extremely,Somewhat,Somewhat,"No opinion","XSLT v2.0, XSLT v1.0, XSLT v1.0 + exslt, XSLT v3.0","a long time",Saxon,".NET, OSX, Linux, Java",,,"Browser, Direct","Mac OS X 10.8","Firefox 18.0",http://plus.url.google.com/url?sa=z&n=1359429806783&url=http%3A%2F%2Ft.co%2FKhWP9dDb&usg=7anvkUF8xZ5llMyXkdUHUdjj8Mc.
39646004,"2013-01-29 03:14:57","2013-01-29 03:16:18",91.48.235.156,DE,Germany,"Not very","Not very",Extremely,Somewhat,"XSLT v2.0, XSLT v3.0, XSLT v1.0 + exslt, XSLT v1.0","a long time",saxon9,Java,,,"Browser, Direct","Mac OS X 10.8","Chrome 24.0",
39646765,"2013-01-29 03:51:15","2013-01-29 03:52:46",217.108.33.15,FR,France,"Not at all","Not at all",Extremely,Somewhat,"XSLT v2.0, XSLT v3.0, XSLT v1.0 + exslt, XSLT v1.0","a long time",saxonica,"OSX, Java, Linux",windows,"Streaming is important.  Schema-aware is very useful.  Support as good as that given by Michael Kay is indispensable.","Browser, Direct","Windows XP","Chrome 16.0",
39648302,"2013-01-29 04:41:34","2013-01-29 04:43:30",82.47.176.38,GB,"United Kingdom","Not very",Somewhat,Somewhat,"No opinion","XSLT v3.0, XSLT v2.0, XSLT v1.0 + exslt, XSLT v1.0","a few years",Saxon,Java,,,"Browser, Direct","Windows 7","Chrome 24.0",
39650414,"2013-01-29 05:46:49","2013-01-29 05:47:48",87.79.93.15,DE,Germany,"Not at all","Not at all",Extremely,"Not at all","XSLT v2.0, XSLT v3.0, XSLT v1.0, XSLT v1.0 + exslt","a long time",saxon,"Java, Linux",,"what the heck?","Browser, Direct","Windows 7","Firefox 18.0",
39652450,"2013-01-29 06:35:33","2013-01-29 06:42:42",71.175.43.201,US,"United States",Somewhat,Somewhat,Extremely,Somewhat,"XSLT v1.0, XSLT v2.0, XSLT v1.0 + exslt, XSLT v3.0","a long time","Saxon and occasionally Xalan to check my work.","OSX, Java, .NET, Linux",,"As a developer an integrator of editorial content management systems, XSLT is a critical technology for enabling crossplatform publishing. My customers use XSLT to convert content for various output formats, extract and transform XMP, and, most importantly, connect systems together. If XML is the 'lingua Franca', XSLT is the 'Babel fish'.","Mobile Device, Direct","iOS 6","Safari 6",
39654193,"2013-01-29 07:11:58","2013-01-29 07:26:12",94.247.34.3,CZ,"Czech Republic","Not at all","Not at all",Extremely,"No opinion","XSLT v2.0, XSLT v3.0, XSLT v1.0 + exslt, XSLT v1.0","a long time","Saxon 9.1",Java,,"Main usage:  - generation of ant scripts based on xml configuration  - processing/generation of excel files (mainly xml format of Excel 2003; xlsx as well but due to the complicated structure of files inside xlsx zip only in a limited manner) - those excel files contains configuration data, language resources (these are merged into java property files..)  - documentation generation (PDF, html,..)  - generation of data files for relational databases  - data validation  - in the browser with Saxon-CE, great potential    Expectations:  - support for zip files creation/parsing  - libraries for charting to SVG","Browser, Direct","Windows Vista","Chrome 24.0",
39656518,"2013-01-29 08:05:34","2013-01-29 08:09:49",198.179.137.242,US,"United States",Somewhat,"No opinion",Extremely,"No opinion","XSLT v2.0, XSLT v1.0, XSLT v3.0, XSLT v1.0 + exslt","a long time",Sax,"Linux, Java",,"I use XSLT to transform SGML & XML sources to HTML & FO.","Browser, Direct","Windows 7","IE 9.0",
39658916,"2013-01-29 01:36:21","2013-01-29 08:52:18",76.69.114.17,CA,Canada,"Not very","Not very",Extremely,"No opinion","XSLT v2.0, XSLT v3.0, XSLT v1.0 + exslt, XSLT v1.0","a long time",Saxon-HE,Java,,,"Browser, Direct","Windows Vista","Firefox 18.0",http://t.co/KhWP9dDb
39666436,"2013-01-29 10:38:39","2013-01-29 10:48:39",82.33.231.230,GB,"United Kingdom","Not at all","Not at all",Extremely,Somewhat,"XSLT v2.0, XSLT v3.0, XSLT v1.0, XSLT v1.0 + exslt","less then 5 years","Saxon 9.0.1.7",.NET,,"Saxon is called from within a C# application to processes result data held as XML documents into HTML for display in a browser. This an operational system is used by the navy and air force to monitor military helicopter structural vibration.    There are currently no plans to upgrade to use XSLT 3.0. A watch is being kept on the progress of XSLT 3.0 and once stable with stable products an upgrade will be considered.","Browser, Direct","Windows 7","IE 8.0",
39668243,"2013-01-28 17:09:03","2013-01-29 11:13:26",70.167.182.130,US,"United States","Not very","No opinion",Somewhat,Somewhat,"XSLT v2.0, XSLT v3.0, XSLT v1.0 + exslt, XSLT v1.0","a few years","Saxon, Via Orbeon Forms","Java, OSX, Linux",Solaris,,"Browser, Direct","Windows 7","Chrome 24.0",
39688968,"2013-01-29 15:58:44","2013-01-29 16:01:05",149.173.6.51,US,"United States",Somewhat,"No opinion",Extremely,"No opinion","XSLT v2.0, XSLT v1.0, XSLT v3.0, XSLT v1.0 + exslt","a long time",SAXON,Java,,,"Browser, Direct","Windows 7","IE 9.0",
39690763,"2013-01-29 16:26:40","2013-01-29 16:29:21",166.70.244.74,US,"United States",Somewhat,"No opinion",Extremely,Extremely,"XSLT v2.0, XSLT v3.0, XSLT v1.0, XSLT v1.0 + exslt","a long time","Saxonica's Saxon-SA (Schema Aware)",Java,,"Very happy with the direction of XSLT and looking forward to taking advantage of 3.0 features.     Full disclosure: I am the Chair of the W3C XML Query WG.","Browser, Direct","Windows XP","Firefox 18.0",
39702790,"2013-01-29 20:19:26","2013-01-29 20:21:30",202.159.135.51,AU,Australia,"Not very","Not very",Extremely,Somewhat,"XSLT v3.0, XSLT v1.0 + exslt, XSLT v1.0, XSLT v2.0","a long time",SAXON,"Java, Linux, .NET",,,"Browser, Direct","Windows 7","Firefox 18.0",
39706651,"2013-01-29 22:20:58","2013-01-29 22:23:01",12.178.11.194,US,"United States",Somewhat,"No opinion",Extremely,Somewhat,"XSLT v2.0, XSLT v3.0, XSLT v1.0, XSLT v1.0 + exslt","a long time",Saxon,Java,,"Have used it a lot with Apache Cocoon and pipelines in general.","Browser, Direct","Windows 7","Chrome 24.0",
39709548,"2013-01-30 00:04:33","2013-01-30 00:06:17",71.45.55.131,US,"United States",Extremely,Extremely,Somewhat,"No opinion","XSLT v1.0, XSLT v1.0 + exslt, XSLT v2.0, XSLT v3.0","less then 5 years",libxslt,"OSX, Linux",Windox,,"Browser, Direct","Mac OS X 10.8","Chrome 24.0",
39712890,"2013-01-30 03:12:13","2013-01-30 03:20:27",90.37.13.189,FR,France,Extremely,Somewhat,Extremely,"No opinion","XSLT v1.0, XSLT v2.0, XSLT v1.0 + exslt, XSLT v3.0","a long time","libxslt (libxml2), Saxon","Java, Linux",,"I use XSLT mostly for documentation purposes (technical information querying and publishing) and for cross-languages translation. I expect more from the various APIs to keep up with the 2.0 specification than from the >2.0 spec to bring new features.","Browser, Direct",Linux,"Firefox 18.0",
39713997,"2013-01-30 04:00:54","2013-01-30 04:14:11",194.95.119.139,DE,Germany,Extremely,"Not very",Extremely,"No opinion","XSLT v2.0, XSLT v1.0, XSLT v1.0 + exslt, XSLT v3.0","a few years","Saxon 9.1. standalone (free edition)  Saxon EE (bundled with oXygen 14)","Java, Linux",Windows,"Invoking from shell scripts / batch files and from inside Java.  Mostly plain transformations XML to XML or XML to flat file,  Generation of XSLT stylesheets through meta-stylesheets.  Enhancing a generic XML Schema with domain-specific schematron rules.  Mostly modest data volumes (99% < 10 MB).    Looking forward to testing XSLT 3.0's streaming capabilities as it promises to enables us to process very large files (1G+) performantly and with reasonable requirements on hardfware.","Browser, Direct","Windows XP","Firefox 17.0",
39729596,"2013-01-30 08:35:45","2013-01-30 08:40:45",141.62.31.244,DE,Germany,Extremely,"Not at all",Extremely,"Not at all","XSLT v2.0, XSLT v1.0, XSLT v1.0 + exslt, XSLT v3.0","a long time","Saxon 9  Saxon 6  Xalan",".NET, Java",,"I'd like to see    better integration in Eclipse  more libraries","Browser, Direct","Windows 7","Firefox 18.0",http://www.biglist.com/lists/lists.mulberrytech.com/xsl-list/archives/201301/msg00141.html
39729794,"2013-01-30 08:39:24","2013-01-30 08:42:44",217.88.204.14,DE,Germany,Somewhat,"Not very",Extremely,Extremely,"XSLT v2.0, XSLT v3.0, XSLT v1.0, XSLT v1.0 + exslt","a long time",saxon,"Java, .NET",,"We use it for everything. Sometimes I also cook with XSLT...","Browser, Direct","Windows 7","Firefox 18.0",
39730390,"2013-01-30 08:46:29","2013-01-30 08:48:29",217.8.57.119,DE,Germany,"Not very","Not very",Extremely,Somewhat,"XSLT v2.0, XSLT v3.0, XSLT v1.0, XSLT v1.0 + exslt","less then 5 years","Saxon-B 9.1.0.8  Saxon-HE  Saxon-PE","OSX, Java",Windows,,"Browser, Direct","Windows 7","Firefox 18.0",
39731271,"2013-01-30 08:46:39","2013-01-30 08:56:29",217.88.204.14,DE,Germany,"Not very","Not at all",Extremely,"No opinion","XSLT v2.0, XSLT v3.0, XSLT v1.0, XSLT v1.0 + exslt","less then 5 years",saxon,".NET, Java",,,"Browser, Direct","Windows 7","Firefox 18.0",
39743138,"2013-01-30 10:48:09","2013-01-30 10:52:19",194.237.142.10,SE,Sweden,"No opinion","No opinion","No opinion","No opinion","XSLT v1.0 + exslt, XSLT v1.0, XSLT v2.0, XSLT v3.0","a long time","I only use the version bundled with apache fop    I have no idea which version I'm using ""the latest"" probably",Java,,"Only to transform XML to PDF with apache FOP - I haven't a clue which version I use.    I only do simple things - the problem is not XSLT - but knowing what output to produce.","Browser, Direct",Linux,"Firefox 18.0",http://plus.url.google.com/url?sa=z&n=1359560888486&url=http%3A%2F%2Ft.co%2FKhWP9dDb&usg=DpynNI0SQTjMylhSlpB6ojTyIZM.
39743331,"2013-01-30 10:52:06","2013-01-30 10:53:42",24.9.231.32,US,"United States",Extremely,"No opinion",Extremely,Somewhat,"XSLT v2.0, XSLT v1.0, XSLT v3.0, XSLT v1.0 + exslt","a long time","Oxygen (Saxon)",Java,,,"Browser, Direct","Windows 7","Firefox 18.0",
39749115,"2013-01-30 11:55:21","2013-01-30 11:57:38",217.8.57.119,DE,Germany,"Not at all","Not at all",Extremely,Somewhat,"XSLT v2.0, XSLT v3.0, XSLT v1.0 + exslt, XSLT v1.0","a long time",,Java,,,"Browser, Direct","Windows 7","Chrome 24.0",
39798765,"2013-01-31 03:41:59","2013-01-31 03:52:05",217.8.57.119,DE,Germany,"No opinion","No opinion",Somewhat,Extremely,"XSLT v3.0, XSLT v1.0, XSLT v2.0, XSLT v1.0 + exslt","a few years",saxon,Linux,,"as functional programmer I appriciate higher order function support in v3.0.","Browser, Direct",Linux,"Firefox 18.0",
39814109,"2013-01-31 08:41:30","2013-01-31 08:42:49",92.41.251.246,GB,"United Kingdom",Extremely,Somewhat,Extremely,"No opinion","XSLT v2.0, XSLT v3.0, XSLT v1.0 + exslt, XSLT v1.0","a few years",saxon,"OSX, Java, Linux",windows,,"Browser, Direct","Mac OS X 10.8","Chrome 24.0",
39933683,"2013-02-02 07:40:19","2013-02-02 07:44:00",85.216.48.16,DE,Germany,"Not very","No opinion",Somewhat,Extremely,"XSLT v3.0, XSLT v2.0, XSLT v1.0 + exslt, XSLT v1.0","a few years",Saxon,Java,"Windows 7",,"Browser, Direct","Windows 7","Firefox 18.0",
40011646,"2013-02-03 18:18:16","2013-02-03 18:21:09",74.133.90.148,US,"United States","No opinion","Not at all",Somewhat,Extremely,"XSLT v3.0, XSLT v2.0, XSLT v1.0, XSLT v1.0 + exslt","a long time",saxon,"Linux, Java","Windows - how could you ignore this ?","I prefer XQuery over XSLT any day and night.  However I frequently have to manage other author's use of XSLT therefor I need to use it.   XSLT in the browser I think has become a lost cause.  Rather the server is preparing HTML content to serve to browsers and I think that is the right way.  I dont see the lack of XSLT 3.0 in browser a problem.  I *do* see the lack of XSLT 3.0 on servers a problem.   Many companies are choosing simply to not go past XSLT 1 or 2 ... this is a bad thing.","Browser, Direct","Windows 7","Chrome 24.0",
40042373,"2013-02-04 12:24:16","2013-02-04 12:32:14",80.187.107.154,DE,Germany,"Not very",Extremely,Somewhat,"No opinion","XSLT v1.0 + exslt, XSLT v2.0, XSLT v1.0, XSLT v3.0","a few years","JDK built-in Xalan",Java,,"Use: EDI message translation, e.g. Edifact, X12, internal schema (90%), master data/codelists conversion","Mobile Device, Direct","iOS 6.1",iPhone,http://www.biglist.com/lists/lists.mulberrytech.com/xsl-list/archives/201301/msg00141.html
40142689,"2013-02-06 02:32:50","2013-02-06 02:35:27",86.62.139.147,NO,Norway,Extremely,Somewhat,Extremely,"No opinion","XSLT v2.0, XSLT v1.0, XSLT v3.0, XSLT v1.0 + exslt","a few years","I tend to use 2.0 the most, but some of our systems only have support for 1.0 (and then using the .Net processor).   I love to use the 2.0 as it makes a lot of things so much easier to do.",.NET,,"Weam using XSLT to convert XML-files from one format to the format that we are using internally in the company.  We have created a normalizer software that does this for me. For this I am using XSLT 2.0.    We are also using XSLT 1.0 when sending out messages to clients. this is older software that has run for close to ten years and so we don't open it up to do minor or breaking changes.","Browser, Direct","Windows 7","IE 9.0",
40160896,"2013-02-06 10:54:35","2013-02-06 10:55:53",87.155.19.191,DE,Germany,Somewhat,Extremely,"No opinion","No opinion","XSLT v1.0 + exslt, XSLT v1.0, XSLT v2.0, XSLT v3.0","a long time","xsltproc  saxon  xalan",Linux,,,"Browser, Direct",Linux,"Chrome 23.0",
41076930,"2013-02-19 03:09:55","2013-02-19 03:11:41",91.208.107.60,DE,Germany,Extremely,Somewhat,Extremely,"Not very","XSLT v2.0, XSLT v1.0 + exslt, XSLT v1.0, XSLT v3.0","a long time","Saxon 9 PE",Java,,,"Browser, Direct","Windows XP","Chrome 24.0",
41174603,"2013-02-20 09:41:37","2013-02-20 09:43:51",77.1.240.245,DE,Germany,"Not very","Not at all",Extremely,"No opinion","XSLT v1.0 + exslt, XSLT v1.0, XSLT v3.0, XSLT v2.0","a long time",Saxon,"OSX, Linux, Java",,,"Mobile Device, Direct","iOS 6.1",iPad,http://www.biglist.com/lists/lists.mulberrytech.com/xsl-list/archives/201301/msg00142.html
45685372,"2013-04-27 22:44:01","2013-04-27 22:45:50",69.137.48.150,US,"United States",Somewhat,Somewhat,Extremely,"No opinion","XSLT v2.0, XSLT v1.0 + exslt, XSLT v1.0, XSLT v3.0","a long time",Saxon,"OSX, Java, Linux",Windows,"Please see http://www.cameditor.org - possibly the most extensive use of XSLT in an XML tool - over 80,000 lines of XSLT code and counting...","Browser, Direct",,,
46548049,"2013-05-21 05:48:47","2013-05-21 05:50:07",131.111.159.172,GB,"United Kingdom","Not very","Not at all",Extremely,"Not at all","XSLT v2.0, XSLT v3.0, XSLT v1.0, XSLT v1.0 + exslt","a long time",saxon9,Java,,"run from ant","Browser, Direct",,,
